address,amount
0x1fde40a4046eda0ca0539dd6c77abf8933b94260,200
0x1e296073f62ea9b829c0240d823f995cd71804a6,1400
0x027795de35ac8157dc3fc468927db2dfff2413de,1111
0x486752e4c8ab22f5abb1feb95abc7ce0a36473da,3223
0x0671aec56bc2e358448162677bd110d673cd2937,333
0x2055149768d71910aa4125ccbb9fdc46edeb2436,959
0xb27b3cd0efd8f70257cec812ea4330670c4d4fc5,2032
0x4d6823b083a7d03bce47d50e224903016353b6c8,744
0xbef65bf144bdea1667a74f14ad552c751ad4c056,200
0x980cd99311f3b3264f5dfdce33d204a8d6d492e4,900
0x5be51f8fe19af2543828a241e7555889a2ac9532,7638
0xb630abd9a5367763b7cba316e870c4a54064cc9f,1500
0x4501457c36ae0647cd43a1a81ea4e9e69604215f,100
0x7f367d136cccd0a65e8bcccc8e68031ae37251b9,200
0x00409fc839a2ec2e6d12305423d37cd011279c09,333
0x2315c54b1d9d013ee791041025aa42a49abf853d,5423
0xe0cdfbeaa6964cd87055832cb4ee928450189f31,10136
0x9b7b2b4f7a391b6f14a81221ae0920a9735b67fb,250
0x32cf4d1df6fb7bb173183cf8b51ef9499c803634,1400
0xe876275e5e1a77e0de4006e5d9b85b33621d1442,682
0x1115e7bed26542bf247a7f800a9f48d530c3f955,1806
0x58a35cf59d5c630c057af008a78bc67cdc2ec094,1937
0xfe819920199392cdd911acdaed84b38f30e27562,32565
0xfe1b8c1fd718a2ab2fae2450dc0f2bff6db4a365,3275
0xe7b30a037f5598e4e73702ca66a59af5cc650dcd,321
0xf2fd6887ab7b75ce6486ad6fac3ebdf65e2931fe,300
0x2d801b634331d0b260734b6f1d8064c6101bacc4,1272
0xa2eae178f372220ff6c6d8cacd63efe4e4b44525,4600
0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661,622
0x2d86f58e2e0f068a1720d4508280df24991b044f,1000
0x7aa96bfca841b8fc3879c17555330cbdbbcad3e8,900
0x5c6a2efd69ec361c66f590ff0d8f8e19799fea4d,300
0xad93602657dca36570118f88af69f4706b283476,369
